chr1	3671498	3673498	Xkr4	.	-	9	360	2000	0.1800000
chr1	4409241	4411241	Rp1	.	-	7	300	2000	0.1500000
chr1	4496413	4498413	Sox17	.	-	10	436	2000	0.2180000
chr1	4785726	4787726	Mrpl15	.	-	11	452	2000	0.2260000
chr1	4805893	4807893	Lypla1	.	+	13	422	2000	0.2110000
chr1	4855694	4857694	Tcea1	.	+	10	348	2000	0.1740000
chr1	5070285	5072285	Rgs20	.	-	11	468	2000	0.2340000
chr1	5081173	5083173	Atp6v1h	.	+	13	462	2000	0.2310000
chr1	5586493	5588493	Oprk1	.	+	8	399	2000	0.1995000
chr1	5917398	5919398	Npbwr1	.	-	9	370	2000	0.1850000
chr1	6212662	6214662	Rb1cc1	.	+	22	785	2000	0.3925000
chr1	6357331	6359331	Fam150a	.	+	8	362	2000	0.1810000
chr1	6485231	6487231	St18	.	+	4	180	2000	0.0900000
chr1	7086920	7088920	Pcmtd1	.	+	13	541	2000	0.2705000
chr1	9299730	9301730	Sntg1	.	-	7	332	2000	0.1660000
chr1	9543408	9545408	Rrs1	.	+	12	532	2000	0.2660000
chr1	9546046	9548046	Adhfe1	.	+	14	536	2000	0.2680000
chr1	9599267	9601267	3110035E14Rik	.	+	4	150	2000	0.0750000
chr1	9631092	9633092	2610203C22Rik	.	-	6	191	2000	0.0955000
chr1	9700209	9702209	Mybl1	.	-	14	483	2000	0.2415000
chr1	9745648	9747648	1700034P13Rik	.	+	8	339	2000	0.1695000
chr1	9748382	9750382	Vcpip1	.	-	9	340	2000	0.1700000
chr1	9796130	9798130	Sgk3	.	+	8	359	2000	0.1795000
chr1	9906638	9908638	6030422M02Rik	.	+	5	244	2000	0.1220000
chr1	9942543	9944543	Snord87	.	-	17	668	2000	0.3340000
chr1	9944118	9946118	Snhg6	.	-	8	316	2000	0.1580000
chr1	10009130	10011130	Ppp1r42	.	-	9	449	2000	0.2245000
chr1	10036218	10038218	Cspp1	.	+	27	755	2000	0.3775000
chr1	10037898	10039898	Cops5	.	-	27	724	2000	0.3620000
chr1	10232670	10234670	Arfgef1	.	-	32	994	2000	0.4970000
chr1	10719943	10721943	Cpa6	.	-	6	275	2000	0.1375000
chr1	10865874	10867874	Mir467e	.	-	9	339	2000	0.1695000
chr1	10991465	10993465	Prex2	.	+	9	420	2000	0.2100000
